"GEOID","population","percent_female","percent_white","percent_over_49","X","Y"
"110010040011",1734,45.444059976932,78.8350634371396,15.6862745098039,-77.0447968221957,38.9218480591415
"110010040012",679,56.5537555228277,100,36.3770250368188,-77.0462936593795,38.9181624564656
"110010040013",2215,40.7674943566591,74.3115124153499,13.0925507900677,-77.0476158354514,38.9208556393729
"110010040021",792,47.0959595959596,86.9949494949495,23.1060606060606,-77.0429726118574,38.9207430224395
"110010040022",1893,52.7733755942948,84.7860538827258,18.7004754358162,-77.0430275801913,38.9180939718264
"110010040023",617,54.1329011345219,86.709886547812,16.3695299837925,-77.0450271986811,38.9165109247847
"110010041001",1132,50.6183745583039,81.095406360424,37.7208480565371,-77.0482830381501,38.9153831683535
"110010041002",608,51.1513157894737,71.875,22.5328947368421,-77.0521566619713,38.9181024027868
"110010041003",864,58.912037037037,72.4537037037037,41.6666666666667,-77.0528192689316,38.9139343109323
"110010042011",1374,51.4556040756914,76.8558951965066,22.9985443959243,-77.0374655965581,38.9164685814608
"110010042012",2393,41.9974926870038,88.1738403677392,14.751358127873,-77.0399376330772,38.9160105340471
"110010042021",1264,52.5316455696203,84.4145569620253,18.0379746835443,-77.0424067959789,38.9122907056028
"110010042022",1112,52.4280575539568,85.9712230215827,17.1762589928058,-77.0435772991166,38.9143985177492
"110010043001",2240,56.1607142857143,64.9553571428571,20,-77.0342337464524,38.9180467828599
"110010043002",1848,52.7597402597403,79.7619047619048,17.4242424242424,-77.0340756011311,38.915416023316
"110010044001",3416,46.3407494145199,70.5503512880562,12.7927400468384,-77.0283387475901,38.9186771489071
"110010044002",2377,41.4387883887253,61.337820782499,15.2713504417333,-77.0270430225303,38.9155101370616
"110010046001",1300,44.0769230769231,45.6923076923077,23.8461538461538,-77.0107173412056,38.9091135957227
"110010046002",1775,50.3098591549296,49.6901408450704,19.2112676056338,-77.0145239597931,38.910036790528
"110010047011",966,77.8467908902691,0,12.9399585921325,-77.0106170019098,38.9040808327375
"110010047012",3920,47.6275510204082,34.234693877551,13.3673469387755,-77.0149372723639,38.9041576925915
"110010047021",3600,51.6944444444444,57.3611111111111,20.9722222222222,-77.0136469709996,38.9008769318576
"110010048011",2999,50.8169389796599,61.7872624208069,17.5391797265755,-77.0195348440364,38.9117376770642
"110010048021",1604,38.9027431421446,70.6359102244389,20.4488778054863,-77.0172238143903,38.9064944189117
"110010048022",1983,55.8245083207262,28.0383257690368,19.8688855269793,-77.0204688225563,38.9059920027581
"110010049011",1280,46.484375,42.5,14.765625,-77.0243000177715,38.9132059850861
"110010049012",2140,38.9719626168224,64.4392523364486,14.018691588785,-77.0245546311021,38.9104882076032
"110010049021",646,60.9907120743034,25.8513931888545,15.6346749226006,-77.0244772826423,38.9079078235421
"110010049022",2811,53.4329420135183,54.9982212735681,18.5343294201352,-77.0243619314028,38.9052260040559
"110010050011",794,47.3551637279597,75.6926952141058,15.4911838790932,-77.028303874889,38.9120957631971
